"","Station","longitude","latitude","nrec"
"1",2,-66.0623666667,45.1842333333,6
"2",5,-66.0990833333,45.1855833333,3
"3",5,-66.0490833333,45.1855833333,1
"4",5,-66.0988333333,45.1863333333,5
"5",5,-66.099,45.1876666667,9
"6",5,-66.0983333333,45.189,5
"7",5,-66.1023833333,45.1890166667,3
"8",5,-66.0980555556,45.1899166667,11
"9",5,-66.0991666667,45.1906666667,3
"10",5,-66.0926,45.1908166667,3
"11",5,-66.0985666667,45.19085,1
"12",5,-66.0954166667,45.1908666667,2
"13",5,-66.0975,45.1911666667,7
"14",5,-66.1019444444,45.1913888889,4
"15",5,-66.0963611111,45.1915833333,12
"16",5,-66.0965,45.1916666667,10
"17",5,-66.0951666667,45.1918333333,1
"18",5,-66.1025166667,45.1927166667,2
"19",5,-66.1025,45.1927777778,5
"20",5,-66.0956666667,45.193,10
"21",5,-66.0930666667,45.1943666667,2
"22",5,-66.1019444444,45.1944444444,6
"23",5,-66.0998333333,45.1946666667,7
"24",5,-66.0986833333,45.1947833333,1
"25",5,-66.0920166667,45.1947833333,1
"26",6,-65.9576666667,45.1973333333,10
"27",6,-65.9755833333,45.19845,1
"28",6,-65.9573333333,45.1986666667,6
"29",1,-66.0234833333,45.19895,1
"30",6,-65.9691388889,45.1989722222,8
"31",6,-65.97575,45.1991333333,4
"32",6,-65.9737833333,45.1991666667,3
"33",6,-65.976,45.1997,1
"34",5,-66.0885,45.1998333333,7
"35",6,-65.9731666667,45.1998333333,9
"36",6,-65.9682833333,45.2001333333,1
"37",6,-65.97225,45.2001388889,9
"38",6,-65.9706333333,45.2002,2
"39",6,-65.9765333333,45.2007166667,2
"40",6,-65.9763666667,45.2007166667,1
"41",6,-65.9713888889,45.2011111111,3
"42",6,-65.96565,45.2013166667,2
"43",6,-65.9686111111,45.2016666667,3
"44",6,-65.9697666667,45.2017166667,2
"45",5,-66.085,45.2018333333,9
"46",6,-65.9752833333,45.202,4
"47",6,-65.9751666667,45.202,6
"48",6,-65.973,45.202,2
"49",6,-65.964,45.202,3
"50",6,-65.9731944444,45.2021388889,11
"51",1,-65.9695,45.2025,1
"52",6,-65.9695,45.2025,11
"53",6,-65.9708333333,45.2026666667,12
"54",4,-66.0700333333,45.2027,4
"55",4,-66.0533666667,45.2027,1
"56",6,-65.9713,45.2032666667,2
"57",6,-65.9681666667,45.204,11
"58",4,-66.064,45.2041666667,8
